id,generated_on,line_id,line_id_stateless,trip_code,station_id,station_name,station_platform,station_coords,planned_arr_time,planned_dep_time,arr_delay,dep_delay
4fb6022a-cb30-4fe9-8d94-b894348de30f,2023-10-03T01:30:14.103106000,12M12,eva:12M12: :R:j23,12,20009407,Essen Kronenberg,3,"777498.00000,5297051.00000",2023-10-03T01:11:00.000000000,2023-10-03T01:11:00.000000000,0,0
4fb6022a-cb30-4fe9-8d94-b894348de30f,2023-10-03T01:30:14.103106000,12M12,eva:12M12: :R:j23,12,20009290,Essen thyssenkrupp,3,"778503.00000,5297095.00000",2023-10-03T01:12:00.000000000,2023-10-03T01:12:00.000000000,0,0
4fb6022a-cb30-4fe9-8d94-b894348de30f,2023-10-03T01:30:14.103106000,12M12,eva:12M12: :R:j23,12,20009153,Essen Berliner Platz,2,"779673.00000,5297075.00000",2023-10-03T01:14:00.000000000,2023-10-03T01:14:00.000000000,0,0
4fb6022a-cb30-4fe9-8d94-b894348de30f,2023-10-03T01:30:14.103106000,12M12,eva:12M12: :R:j23,12,20009989,Essen Kreuzeskirchstr.,1,"780200.00000,5296903.00000",2023-10-03T01:15:00.000000000,2023-10-03T01:15:00.000000000,0,0
4fb6022a-cb30-4fe9-8d94-b894348de30f,2023-10-03T01:30:14.103106000,12M12,eva:12M12: :R:j23,12,20009712,Essen Rheinischer Platz,1,"780701.00000,5296591.00000",2023-10-03T01:16:00.000000000,2023-10-03T01:16:00.000000000,0,0
4fb6022a-cb30-4fe9-8d94-b894348de30f,2023-10-03T01:30:14.103106000,12M12,eva:12M12: :R:j23,12,20009619,Essen Viehofer Platz,1,"780874.00000,5296821.00000",2023-10-03T01:17:00.000000000,2023-10-03T01:17:00.000000000,0,0
4fb6022a-cb30-4fe9-8d94-b894348de30f,2023-10-03T01:30:14.103106000,12M12,eva:12M12: :R:j23,12,20009492,Essen Rathaus Essen,8,"780916.00000,5297415.00000",2023-10-03T01:18:00.000000000,2023-10-03T01:18:00.000000000,0,0
4fb6022a-cb30-4fe9-8d94-b894348de30f,2023-10-03T01:30:14.103106000,12M12,eva:12M12: :R:j23,12,20009260,Essen Goldschmidtstr.,3,"781709.00000,5297408.00000",2023-10-03T01:20:00.000000000,2023-10-03T01:20:00.000000000,0,0
4fb6022a-cb30-4fe9-8d94-b894348de30f,2023-10-03T01:30:14.103106000,12M12,eva:12M12: :R:j23,12,20009623,Essen Hollestr.,3,"781536.00000,5297990.00000",2023-10-03T01:22:00.000000000,2023-10-03T01:22:00.000000000,0,0
9fc129a8-2499-495e-aa7e-ea6ce3d5709c,2023-10-03T01:30:14.103357000,12M12,eva:12M12: :R:j23,13,20009589,Essen Philippusstift,3,"773725.00000,5294077.00000",,2023-10-03T01:58:00.000000000,0,0
